title,description,identifier,licence,keywords,issued,corrected date,modified,publisher.name,publisher.mbox,ACC Contact,contactPoint.fn,contactPoint.hasPhone,contactPoint.hasEmail,landingPage,updateFrequency,theme,temporal,spatial,distribution.0.downloadURL,distribution.0.format,distribution.0.size,distribution.0.title,distribution.0.description,distribution.1.downloadURL,distribution.1.format,distribution.1.size,distribution.1.title,distribution.1.description,distribution.2.downloadURL,distribution.2.format,distribution.2.size,distribution.2.title,distribution.2.description,distribution.3.downloadURL,distribution.3.format,distribution.3.size,distribution.3.title,distribution.3.description,distribution.4.downloadURL,distribution.4.format,distribution.4.size,distribution.4.title,distribution.4.description
Motor Vehicle Accident claims,"ACC claims relating to motor vehicle or road accidents.
The information provided is based on the following criteria/considerations.
The data has been extracted based on the following criteria:
* The claim has is funded under the ACC Motor vehicle fund.
* The claim was lodged or active in the period between 1 July 2011 and 30 June 2018.
* The claim has a cover decision equal to ""Accept"".
Caveats / Notes:
- Costs provided are exclusive of GST.
- Costs are based on payment date. Payment date may be different to the date of service.
- Accredited employer claims are excluded from the information.
- A financial year is 1 July to 30 June.
- Any instances of client gender, age, ethnicity, or accident location that are missing are not included in the information.
- ACC is reliant on the information a person provides on their ACC45 injury claim form which is completed when they seek medical treatment for their injury.
- Data were extracted on 30 November 2018 and may differ if re-run at a later date.",,https://creativecommons.org/licenses/by/4.0,"ACC, Cars, claims, motor vehicle accident",30-11-2018,30-11-2018,,ACC,analytics@acc.co.nz,,"Analytics & Reporting, ACC",,analytics@acc.co.nz,,Annual,Injury,,,https://catalogue.data.govt.nz/dataset/e9767749-01e5-4b9f-88de-10b73ae73b19/resource/f53f15d8-fb9c-474b-9fc7-d05907070262/download/road-data-publication.xlsx,XLSX,,Motor Vehicle Accidents Data,,https://catalogue.data.govt.nz/dataset/e9767749-01e5-4b9f-88de-10b73ae73b19/resource/6db4cb5e-4653-48c5-a90d-841fde229c6e/download/road-analyst_new.xlsx,CSV,,New Motor Vehicle Accidents,,https://catalogue.data.govt.nz/dataset/e9767749-01e5-4b9f-88de-10b73ae73b19/resource/7c0c24b1-0cb6-4ef2-8602-886d7ef70b94/download/road-analyst_active.xlsx,CSV,,Active Motor Vehicle Accidents,,,,,,,,,,,
Netball injuries on Wellington,"Summary of Netball claims in Wellington, 2017-2019",,https://creativecommons.org/licenses/by/4.0,"netball, injuries, wellington",05-10-2019,05-10-2019,,ACC,analytics@acc.co.nz,,"Analytics & Reporting, ACC",,analytics@acc.co.nz,https://catalogue.data.govt.nz/dataset/f00246b1-3964-4a22-9464-3fb54651aed6/resource/bfb5968b-d579-4306-a0f1-34317ebe942b/download/51388-netball-injuries-in-wellington.xlsx,Irregular,Injury,2017/2019,,https://catalogue.data.govt.nz/dataset/f00246b1-3964-4a22-9464-3fb54651aed6/resource/bfb5968b-d579-4306-a0f1-34317ebe942b/download/51388-netball-injuries-in-wellington.xlsx,XLSX,,Netball injuries in Wellington 2017-2019,,,,,,,,,,,,,,,,,,,,,
Number of claims by pedestrians in Kapiti,Number of claims by pedestrians in Kapiti by age group. OIA: 52226,,https://creativecommons.org/licenses/by/4.0,"pedestrian, claims, kapiti",04-05-2020,04-05-2020,,ACC,analytics@acc.co.nz,,"Analytics & Reporting, ACC",,analytics@acc.co.nz,,Irregular,Injury,01-01-2015/04-05-2020,,https://catalogue.data.govt.nz/dataset/282c8647-49f9-4d57-bf51-01b5d0d56267/resource/beb83e12-1d6a-479c-9556-e86da68a86ae/download/52226-response.xlsm,XLSM,,Pedestrian injuries data in Kapiti ,,,,,,,,,,,,,,,,,,,,,
Number of claims for occupational noise induced hearing loss,"Number of claims for occupational noise induced hearing loss, including totals per annum, and totals per annum by industry. OIA: 51192",,https://creativecommons.org/licenses/by/4.0,"hearing loss, occupational noise, injury, claims",11-10-2019,11-10-2019,,ACC,analytics@acc.co.nz,,"Analytics & Reporting, ACC",,analytics@acc.co.nz,,Irregular,Injury,01-07-2010/05-10-2019,,https://catalogue.data.govt.nz/dataset/579d6a8d-8dc1-4d4a-a79c-66a53309005e/resource/1b90b05f-3585-4c6d-81c7-0b8838fadf68/download/51192-nihl-claims-last-10-years.xlsx,XLSX,,Hearing loss data,Claims data from occupational noise induced hearing loss,,,,,,,,,,,,,,,,,,,,
Number of claims relating to falls in Whanganui,"Number of claims relating to falls in Whanganui.  The injury cause is equal to ‘Loss Balance/Personal Control’, ‘Loss of Consciousness/Sleep’,  ‘Misjudgement of Support’, ‘Slipping, Skidding on Foot’, ‘Something Giving way Underfoot’ or ‘Tripping or Stumbling’. OIA : 48495",,https://creativecommons.org/licenses/by/4.0,"falls, claims, whanganui",16-01-2019,16-01-2019,,ACC,analytics@acc.co.nz,,"Analytics & Reporting, ACC",,analytics@acc.co.nz,,Irregular,Injury,01-07-2013/30-06-2018,,https://catalogue.data.govt.nz/dataset/0cd32927-4dc4-4cda-8888-f26f84cd0656/resource/a861ffb8-b055-4288-9dee-3c723784eb29/download/48495-falls-in-whanganui-response.pdf,PDF,,Falls data,,,,,,,,,,,,,,,,,,,,,
Number of Concussion or traumatic brain injury (TBI) claims lodged,Number claims for the previous 5 years of concussion and mild traumatic brain injury. OIA: 50395,,https://creativecommons.org/licenses/by/4.0,"concussions, traumatic brain injury",27/07/2019,27-07-2019,,ACC,analytics@acc.co.nz,,"Analytics & Reporting, ACC",,analytics@acc.co.nz,,Irregular,Injury,,,https://catalogue.data.govt.nz/dataset/d68ff0ae-3164-46e5-9a27-c7590536acd0/resource/6cf2b669-1ca5-429c-9d06-3876d1391c8f/download/50395-concussion-and-tbi.xlsx,XLSX,,Concussion injury data,,,,,,,,,,,,,,,,,,,,,
Number of elective surgery requests received for hip labral tears,"The data has been extracted for claims where an elective surgery request, with the surgery code HIT50-52, HIT60-62 or HIT70-7, has a service date between 1 July 2013 and 30 June 2019. The data provided was extracted on 18 October 2019 and may differ if re-run at a later date.  In recent years, the hip surgery codes have not been able to be loaded against individual purchase orders. In instances where this has been the case, we have extracted data for elective surgery requests
where the surgery site was hip and the comments field included the key terms arthroscopy and hip/labral or the surgery codes, as mentioned above.",,https://creativecommons.org/licenses/by/4.0,"elective surgery, hip, arthroscropy, labral",18-10-2019,18-10-2019,,ACC,analytics@acc.co.nz,,"Analytics & Reporting, ACC",,analytics@acc.co.nz,,Irregular,Injury,01-07-2013/30-06-2019,,https://catalogue.data.govt.nz/dataset/c0b75640-57e0-4dc8-a085-5e9882a9f909/resource/6858c93d-5218-4f45-8d91-022f89654ee2/download/gov-002082-response.pdf,PDF,,Elective surgery data,,,,,,,,,,,,,,,,,,,,,
Number of injuries and fatalities from water kayaking,"Number of injuries and fatalities that occurred over the last 5 years during white water rafting, white
water kayaking and sea kayaking activity. OIA: 51126",,https://creativecommons.org/licenses/by/4.0,"white water rafting, white water rafting, sea kayaking, injury, fatalities",16-10-2019,16-10-2019,,ACC,analytics@acc.co.nz,,"Analytics & Reporting, ACC",,analytics@acc.co.nz,,Irregular,Injury,01-01-2015/21-09-2019,,https://catalogue.data.govt.nz/dataset/111f311d-d6fd-4d7a-954c-4268413215d4/resource/bb0b354c-fbab-42d7-9867-2634baa880e4/download/51126-rafting-kayaking-injuries.pdf,PDF,,Water kayaking injury data,,,,,,,,,,,,,,,,,,,,,
Number of injuries and fatalities while rock climbing,Number of injuries and fatalities from rock climbing and climbing wall. OIA: 51125,,https://creativecommons.org/licenses/by/4.0,"rock climbing, climbing wall, fatalities",16-10-2019,16-10-2019,,ACC,analytics@acc.co.nz,,"Analytics & Reporting, ACC",,analytics@acc.co.nz,,Irregular,Injury,01-01-2015/2019,,https://catalogue.data.govt.nz/dataset/d9a62cb3-faeb-40bf-89fb-da1ce714be92/resource/849590f7-2617-40d5-ad4d-e412b47a61b1/download/51125-rock-climbing-injuries.pdf,PDF,,Rock climbing Injury data,,,,,,,,,,,,,,,,,,,,,
Sports injuries,"Sports related injuries by type of sports, locations, type of injury, age , gender, ethnicity, and cost of treatment.",,https://creativecommons.org/licenses/by/4.0,"sports, injury, age, gender, treatment cost, ethnicity",12-03-2020,12-03-2020,12-12-2019,ACC,analytics@acc.co.nz,,"Analytics & Reporting, ACC",,analytics@acc.co.nz,https://www.acc.co.nz/about-us/statistics/?smooth-scroll=content-after-navs,Irregular,Injury,01-07-2008/30-06-2019,,https://catalogue.data.govt.nz/dataset/3eb52d25-2aa1-4861-aff4-8b4bede6da64/resource/28b114b3-ad87-4ead-bc77-6b6449b654d4/download/51939-response.xlsm,xlsm,68KB,Sports injury data,Claims data between 1/07/2008 - 30/06/2019. OIA: 519939,https://catalogue.data.govt.nz/dataset/ef4c6298-3f56-4e11-ba4b-96bafbb23239/resource/070d3446-e29b-4e3c-874c-3df8968fd8ed/download/51704-sport-concussions.xlsm,XLSM,,Sports related concussion data,Sport related concussion by age group and sports  (01/01/2015-31/12/2018),https://catalogue.data.govt.nz/dataset/3317c3ef-8999-4edb-a9f7-be037df8520a/resource/953db280-f73e-4e90-b2a6-e483ee2c8471/download/52244.xlsm,XLSM,,Sports related concussions 2010-2020,A summary of concussion/mild traumatic brain injuries between 2010-2020 broken down into how the injuries occurred and a breakdown of which ethnic groups suffered the most of these injuries while playing sport. OIA: 52244,,,,,,,,,,
Vaccine Injury compensation,The injuries in the data provided mayrelate to the administration of the vaccine or a specific component of the vaccine. ACC response to a request at: https://www.data.govt.nz/datasetrequest/show/419,,https://creativecommons.org/licenses/by/4.0,"vaccine, injury, ACC, treatment cost",30-03-2020,30-03-2020,,ACC,GovernmentServices@acc.co.nz,,Government Engagement & Support,,GovernmentServices@acc.co.nz,https://www.acc.co.nz/about-us/statistics/?smooth-scroll=content-after-navs,Irregular,Injury,2005/2019,,https://catalogue.data.govt.nz/dataset/a7ecd16b-df20-42a0-9d05-8ba947a10c68/resource/c4938f81-6ced-4098-8c03-48bce9c90705/download/gov-001373-response.pdf,.pdf,439KB,Vaccine injury data 2005-2019,"Time series data from July 2005 to June 2019, and July 2019 to Sept 2019",https://catalogue.data.govt.nz/dataset/a7ecd16b-df20-42a0-9d05-8ba947a10c68/resource/338cb39f-8b8b-4ab3-bf18-0c239d71f5e0/download/gov-004033-response.pdf,PDF,475795,Vaccine injury data 2005-2020,"Time series data from July 2005 to June 2019, and July 2019 to 8 March 2020",,,,,,,,,,,,,,,
Workplace injuries ,"Workplace injuries rates, general population, Pasifica peoples and Maori between 1 July 2015 and 30 June 2018.",,https://creativecommons.org/licenses/by/4.0,"ACC, claims, injury, workplace",02-03-2019,02-03-2019,,ACC,analytics@acc.co.nz,,"Analytics & Reporting, ACC",,analytics@acc.co.nz,https://www.acc.co.nz/about-us/statistics/?smooth-scroll=content-after-navs,Irregular,Injury,01-07-2015/30-06-2018,,https://catalogue.data.govt.nz/dataset/f722ad6f-f170-482b-93d5-5076c03c4445/resource/8fc0367c-2311-47c2-8a67-a62cc24e71f0/download/0053769-response-workplace-injury-rates.xlsx,XLSX,,Workplace injuries data,,,,,,,,,,,,,,,,,,,,,
